Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
US,11/3/2022,2022,US 202117306202 A,COMPUTER VISION SYSTEM AND METHOD FOR AGRICULTURE,"There is provided a computer vision monitoring system and method for use in agriculture. The system has a frame; a battery mounted to the frame and providing electrical power; a Light Detection and Ranging (LiDAR) sensor mounted to the frame; a camera mounted to the frame; an enclosure mounted to the frame, the enclosure housing a processing structure. The processing structure executes instructions such as capturing point data from the LiDAR sensor; capturing image data from the camera; generating a 3D color-assigned cloud point data set from the image data and the point data; and determining crop characteristic data. The method involves similar steps as executed by the processing structure.",AIRM CONSULTING LTD,PORTH CHRISTOPHER BROCK;;PORTH LYSA M;;TAHMASEBIAN EHSAN;;KHOSHDEL VAHAB;;HAJIHOSSEINLU AMIN,AIRM CONSULTING LTD (2021-06-18),Patent Application,G01S17/89;;G01S17/86;;G01S17/88;;G06T2207/10024;;G06T2207/30188;;A01B79/005;;G01C15/06;;G06T7/10;;G01S17/89;;G06T2207/10028;;G01C15/002;;H04N23/531,A01B79/00;;G01C15/00;;G01C15/06;;G01S17/89;;G06T7/10;;H04N5/225,PENDING,,,,
WO,7/21/2022,2022,US 2022/0011938 W,PREDICTING SOIL ORGANIC CARBON CONTENT,"Implementations are described herein for predicting soil organic carbon (""SOC"") content for agricultural fields detected in digital imagery. In various implementations, one or more digital images depicting portion(s) of one or more agricultural fields may be processed. The one or more digital images may have been acquired by a vision sensor carried through the field(s) by a ground-based vehicle. Based on the processing, one or more agricultural inferences indicating agricultural practices or conditions predicted to affect SOC content may be determined. Based on the agricultural inferences, one or more predicted SOC measurements for the field(s) may be determined.",X DEV LLC,GUO CHENG-EN;;YANG JIE;;YUAN ZHIQIANG;;GRANT ELLIOTT,,Patent Application,G06V10/62;;G06V10/82;;G06V20/56;;G06V20/68;;G06V20/188;;A01B79/005;;G01N33/24;;G06T7/0004;;G06T2207/30188,G06V10/62;;G06V10/82;;G06V20/56;;G06V20/68,PENDING,,,,
US,11/3/2022,2022,US 202217867676 A,PRECISION TREATMENT OF AGRICULTURAL OBJECTS ON A MOVING PLATFORM,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, receiving data representing a policy specifying a type of action for an agricultural object, selecting an emitter with which to perform a type of action for the agricultural object as one of one or more classified subsets, and configuring the agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,,Patent Application,A01B69/001;;A01B79/005;;A01C21/005;;A01M7/0089;;G05D1/0212;;G05D1/0246;;G05D2201/0201;;A01M21/043;;G06V20/38;;A01C21/007;;G05D2201/0201;;G05D1/0246;;G05D1/0212;;A01B69/004;;G06V20/188;;G06F18/243;;A01B69/001;;G06V20/38,G06V20/10;;A01B69/00;;A01C21/00;;G05D1/02;;G06K9/62,PENDING,,,,
US,6/1/2021,2021,US 202016780111 A,Identification and localization of anomalous crop health patterns,A method and system for generating a map identifying the size and location of anomalous crop health patterns of a geographic area. Predictive crop health forecasting based historical crop health images generates expected crop health images. Statistical parametric mapping is used to model differences in the expected crop health images and current crop health images to generate a statistical parametric map. Regions of anomalous crop health based on the modeled differences are identified in the statistical parametric map. The number of the identified anomalous crop health regions and the size of each of the identified anomalous crop health regions are determined. The statistical significance of the size and number of the anomalous crop health regions relative to the expected crop health is quantified. A map of anomalous crop health patterns delineates the anomalous crop health regions and the statistical significance of the size and number of anomalous crop health regions.,IBM,MCKENNA SEAN A;;BUESSER BEAT;;TIRUPATHI SESHU,INTERNATIONAL BUSINESS MACHINES CORPORATION (2018-01-08),Granted Patent,G06T7/00;;G06T2207/10032;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06T2207/20084;;G06V20/188;;G06T2207/30188;;G06T7/0002;;G06T2207/10032;;G06T7/00;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06V20/188,G06K9/00;;G06T7/00,ACTIVE,,,,
US,4/14/2020,2020,US 201815879739 A,Identification and localization of anomalous crop health patterns,A method and system for generating a map identifying the size and location of anomalous crop health patterns of a geographic area. Predictive crop health forecasting based historical crop health images generates expected crop health images. Statistical parametric mapping is used to model differences in the expected crop health images and current crop health images to generate a statistical parametric map. Regions of anomalous crop health based on the modeled differences are identified in the statistical parametric map. The number of the identified anomalous crop health regions and the size of each of the identified anomalous crop health regions are determined. The statistical significance of the size and number of the anomalous crop health regions relative to the expected crop health is quantified. A map of anomalous crop health patterns delineates the anomalous crop health regions and the statistical significance of the size and number of anomalous crop health regions.,IBM,MCKENNA SEAN A;;BUESSER BEAT;;TIRUPATHI SESHU,INTERNATIONAL BUSINESS MACHINES CORPORATION (2018-01-08),Granted Patent,G06T7/00;;G06T2207/10032;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06T2207/20084;;G06V20/188;;G06T2207/30188;;G06T7/0002;;G06T2207/10032;;G06T7/00;;G06T2207/10024;;G06T2207/20081;;G06T2207/20076;;G06V20/188,G06T7/00;;G06K9/00,ACTIVE,,,,
WO,11/10/2022,2022,CA 2022050672 W,COMPUTER VISION SYSTEM AND METHOD FOR AGRICULTURE,"There is provided a computer vision monitoring system and method for use in agriculture. The system has a frame; a battery mounted to the frame and providing electrical power; a Light Detection and Ranging (LiDAR) sensor mounted to the frame; a camera mounted to the frame; an enclosure mounted to the frame, the enclosure housing a processing structure. The processing structure executes instructions such as capturing point data from the LiDAR sensor; capturing image data from the camera; generating a 3D color-assigned cloud point data set from the image data and the point data; and determining crop characteristic data. The method involves similar steps as executed by the processing structure.",AIRM CONSULTING LTD,PORTH CHRISTOPHER BROCK;;PORTH LYSA M;;TAHMASEBIAN EHSAN;;KHOSHDEL VAHAB;;HAJIHOSSEINLU AMIN,,Patent Application,G01S17/89;;G01S17/86;;G01S17/88;;G06T2207/10024;;G06T2207/30188;;A01B79/005;;G01C15/06;;G06T7/10;;G01S17/89;;G06T2207/10028;;G01C15/002;;H04N23/531,G01S17/86,PENDING,,,,
US,12/3/2019,2019,US 201715857512 A,Capture of ground truthed labels of plant traits method and system,"In embodiments, acquiring sensor data associated with a plant growing in a field, and analyzing the sensor data to extract, while in the field, one or more phenotypic traits associated with the plant from the sensor data. Indexing, while in the field, the one or more phenotypic traits to one or both of an identifier of the plant or a virtual representation of a part of the plant, and determining one or more plant insights based on the one or more phenotypic traits, wherein the one or more plant insights includes information about one or more of a health, a yield, a planting, a growth, a harvest, a management, a performance, and a state of the plant. One or more of the health, yield, planting, growth, harvest, management, performance, and the state of the plant are included in a plant insights report that is generated.",X DEV LLC,REGAN WILLIAM R;;BITTERMAN MATTHEW A;;SCHILLINGS BENOIT G;;BROWN DAVID R;;GRANT ELLIOTT,X DEVELOPMENT LLC (2018-01-02);;MINERAL EARTH SCIENCES LLC (2022-12-19),Granted Patent,A01G7/00;;G06V20/10;;G06V10/774;;G06N3/045;;G06N3/044;;A01G7/00;;B64C39/024;;G06N3/08;;G06N3/04;;G01N2021/8466;;G06V20/10;;G06V20/188;;G06F18/214;;G06N3/044;;G06N3/045;;B64U2101/30;;G06V10/774,A01G7/00;;B64C39/02;;G06K9/00;;G06N3/04;;G06N3/08,ACTIVE,,,,
US,2/9/2023,2023,US 202217879932 A,"System for detecting fungus, virus, and disease-causing pathogens in an agricultural industry using artificial intelligence.","A system for detecting fungus, virus, and disease-causing pathogens in an agricultural industry using artificial intelligence, which comprises: an unmanned aerial vehicle (UAV); and a ground terminal telecommunicating with the UAV using a wireless access communication, wherein the UAV comprises a wireless transmitter for transmitting data to and from the ground terminal, an array of cantilevers on a substrate located at one side of the wireless transmitter, a blacklight located at the other side of the wireless transmitter, and a sensory part located on the wireless transmitter, wherein the cantilever is made up of beams anchored at one end and projecting into space, and wherein the sensory part comprises a scanner with a high-definition microscope camera, a laser sensor for three-dimensional areal mapping, an infrared sensor, a humidity sensor, a thermostat, a gas sensor, a thermal sensor, an optical dust particle sensor, an electro-optical sensor, and an air quality sensor, and wherein the ground terminal comprises an artificial intelligence machine-learning and data-mining platform wirelessly telecommunicating with the UAV.",DE SANTO KEITH LOUIS,DE SANTO KEITH LOUIS,,Patent Application,G01N33/0036;;G01N33/0098;;G01N33/24;;G01N2033/245;;G06N20/00;;A01M7/005;;B64U2101/40;;B64U2101/30;;B64U10/13;;G01N33/24;;G01P5/00;;G05D1/0016;;A01M7/005;;G01N2033/245;;B64D1/18;;B64C39/024;;B64U2101/20;;B64U2101/30,G01N33/24;;A01M7/00;;B64C39/02;;B64D1/18;;G01P5/00;;G05D1/00,PENDING,,,,
US,6/24/2021,2021,US 201916724263 A,TARGETING AGRICULTURAL OBJECTS TO APPLY UNITS OF TREATMENT AUTONOMOUSLY,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, at least, detecting an optical sight to align with an associated agricultural object, tracking the agricultural objects relative to the optical sight, predicting a parameter to track in association with agricultural object, and activating an emitter to apply an action based on the parameter.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,G06Q50/02;;A01M1/20;;A01B79/005;;A01G7/06;;G06T7/246;;G06T7/73;;G06T2207/30188;;G06N20/00;;G06V20/188;;G06V20/10;;G06T7/246;;G06N20/00;;G06T2207/30188;;A01C15/00;;A01M1/20;;G06Q50/02;;A01G7/06;;G06V20/188,G06T7/246;;A01C15/00;;A01G7/06;;A01M1/20;;G06K9/00;;G06N20/00,ACTIVE,,,,
US,6/28/2018,2018,US 201715853466 A,METHOD FOR PREDICTION OF SOIL AND/OR PLANT CONDITION,"A method and system for predicting soil and/or plant condition in precision agriculture with a classification of measurement data for providing an assignment of a measurement parcel to classes of interest. The assignment is used for providing action recommendations, particularly in real time or close to real time, to a farmer and/or to an agricultural device based on acquired measurement data, particularly remote sensing data, and wherein a classification model is trained by a machine learning algorithm, e.g. relying on deep learning for supervised and/or unsupervised learning, and is potentially continuously refined and adapted thanks to a feedback procedure.",HEXAGON TECHNOLOGY CT GMBH,REIMANN BERND;;HEILI ALEXANDRE;;MOHAN DHIRAJ;;DEBONI JOSÉ,HEXAGON TECHNOLOGY CENTER GMBH (2016-05-12),Patent Application,G06N20/00;;G06Q10/04;;G06Q50/02;;G06Q10/06;;G06Q50/02;;A01B79/005;;G06N20/00;;G06N20/00;;G06Q10/06;;G06Q50/02;;A01B79/005;;Y02A40/10;;A01G7/00;;A01G25/167;;G06N5/04,A01G7/00;;G06N5/04;;G06N99/00,ACTIVE,,,,
US,6/24/2021,2021,US 201916724267 A,CARTRIDGES TO EMPLOY AN AGRICULTURAL PAYLOAD VIA AN AGRICULTURAL TREATMENT DELIVERY SYSTEM,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include identifying a subset of payloads to provide one or more actions based on data representing a policy for one or more subsets of agricultural objects, causing one or more cartridges to be charged based on the subset of payloads, and, and implementing one or more cartridges at an agricultural projectile delivery system.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01C21/007;;A01B79/005;;A01C21/005;;A01B69/001;;A01B79/005;;A01B79/02;;A01B69/001;;A01C21/007;;A01C21/005;;G05D1/0274;;G05D2201/0201,A01B79/00;;A01B69/00;;A01B79/02;;A01C21/00,ACTIVE,,,,
US,6/24/2021,2021,US 201916724266 A,MICRO-PRECISION APPLICATION OF MULTIPLE TREATMENTS TO AGRICULTURAL OBJECTS,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, receiving data representing a policy specifying a type of action for an agricultural object, selecting an emitter with which to perform a type of action for the agricultural object as one of one or more classified subsets, and configuring the agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept the agricultural object.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;LBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;LBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01B69/001;;A01B79/005;;A01C21/005;;A01M7/0089;;G05D1/0212;;G05D1/0246;;G05D2201/0201;;A01M21/043;;G06V20/38;;A01C21/007;;G05D2201/0201;;G05D1/0246;;G05D1/0212;;A01B69/004;;G06V20/188;;G06F18/243;;A01B69/001;;G06V20/38,G06K9/00;;A01B69/00;;A01C21/00;;G05D1/02;;G06K9/62,ACTIVE,,,,
