"keyword","ngram","freq"
"BP neural network",3,32
"environment monitoring device",3,31
"Agricultural irrigation device",3,31
"agricultural irrigation system",3,31
"water supply device",3,31
"moisture detection device",3,30
"moisture content detection",3,30
"soft soil foundation",3,30
"environment information acquisition",3,30
"rock -soil body",3,30
"soilless culture device",3,30
"UNMANNED AERIAL VEHICLE",3,30
"readable storage medium",3,30
"SOIL MOISTURE SENSOR",3,29
"device Soil moisture",3,29
"moisture content sensor",3,29
"humidity control device",3,29
"agricultural management system",3,29
"water conservancy project",3,29
"humidity control system",3,28
"information acquisition system",3,28
"pore water pressure",3,28
"system Agricultural product",3,27
"sprinkling irrigation device",3,27
"Shield tunneling machine",3,27
"Agricultural plant protection",3,26
"Agricultural irrigation system",3,26
"Model test device",3,26
"Automatic irrigation equipment",3,26
"agricultural irrigation device",3,26
"Automatic drip irrigation",3,26
"Intelligent agricultural monitoring",3,26
"pressure balance shield",3,25
"big data analysis",3,25
"water supply system",3,25
"agricultural monitoring system",3,25
"three -dimensional cultivation",3,25
"intelligent control device",3,25
"INFORMATION PROCESSING DEVICE",3,25
"Intelligent irrigation device",3,25
"edible fungus cultivation",3,25
"meteorological monitoring device",3,25
"CONTROL METHOD THEREOF",3,24
"Soil moisture detection",3,24
"pit support system",3,24
"wireless remote control",3,24
"Soil humidity detection",3,24
"Automatic control device",3,24
"environment data acquisition",3,24
"automatic irrigation device",3,24
"quality detection device",3,24
"Chinese herbal medicine",3,23
"method thereof Method",3,23
"method thereof Soil",3,23
"water characteristic curve",3,23
"consolidation test device",3,23
"shear test device",3,23
"water conservancy irrigation",3,23
"single chip microcomputer",3,23
"fertilizer injection unit",3,23
"line monitoring device",3,23
"farmland irrigation system",3,23
"device Agricultural greenhouse",3,23
"sample preparation device",3,23
"detection method thereof",3,23
"Plant cultivation device",3,23
"Automatic water supply",3,23
"-point source pollution",3,23
"plant protection robot",3,23
"temperature control function",3,23
"agricultural harvesting machine",3,22
"plant cultivation system",3,22
"aerial vehicle pesticide",3,22
"earth pressure balance",3,22
"information collection system",3,22
"scale pig farm",3,22
"Edible mushroom cultivation",3,22
"photovoltaic power generation",3,22
"soil moisture content sensor",4,21
"automatic monitoring system",3,21
"soil humidity sensor",3,21
"soil humidity detection",3,21
"foundation pit support",3,21
"Intelligent monitoring device",3,21
"line monitoring system",3,21
"foundation pit excavation",3,21
"data collection system",3,21
"steel pipe pile",3,21
"direct shear test",3,21
"product quality safety",3,21
"Temperature control device",3,21
"FARM WORKING VEHICLE",3,21
"Intelligent agricultural machine",3,21
"automatic water supply",3,21
"sprinkling irrigation equipment",3,21
"device IMAGE FORMING",3,21
"Agricultural planting greenhouse",3,21
"PLANT CULTIVATION SYSTEM",3,21
"Agricultural greenhouse temperature",3,21
"MOVING AGRICULTURAL MACHINE",3,21
"INFORMATION PROCESSING METHOD",3,21
"system Soil moisture",3,20
"WIRELESS POWER TRANSFER",3,20
"Agricultural machinery operation",3,20
"device Agricultural product",3,20
"automatic temperature control",3,20
"Agricultural thing networking",3,20
"Intelligent agricultural system",3,20
"sprinkling irrigation system",3,20
"pesticide residue detection",3,20
"device Intelligent irrigation",3,20
"greenhouse intelligent management",3,20
"Intelligent agricultural robot",3,20
"farm management system",3,20
